This file was created using the 202604 Bloomberg database.

Missing data are indicated by -99.99.



,WML
202511   ,-0.45
202512    ,3.83
202601    ,8.02
202602    ,5.53
202603   ,-5.03
202604   ,12.84



 Annual Factors: January-December
,WML
1990   ,-4.13
1991    ,6.16
1992   ,22.21
1993   ,49.00
1994   ,-1.64
1995   ,22.69
1996   ,14.62
1997   ,18.50
1998   ,-9.82
1999   ,37.44
2000   ,-3.35
2001    ,5.60
2002   ,20.05
2003   ,17.38
2004   ,17.47
2005   ,19.96
2006    ,4.75
2007   ,21.51
2008    ,2.34
2009  ,-53.30
2010   ,13.14
2011   ,14.20
2012   ,17.77
2013   ,16.64
2014    ,8.79
2015   ,11.65
2016   ,-3.22
2017   ,27.85
2018    ,2.52
2019    ,8.91
2020   ,25.87
2021   ,19.63
2022    ,6.88
2023   ,11.08
2024   ,14.67
2025    ,7.84
